	RS0095_cy5	RS0109_cy5	RS0175_cy5	RS0332_cy5	RSN2336.0_cy5	RS0384_cy5	RS0406_cy5	RS0451_cy5	RS0468_cy5	RS64.0_cy5	RS278.0_cy5	RS313.0_cy5	RS643.0_cy5	RS740.0_cy5	RS810.0_cy5	RS0083_SS_Cy5	RS0255_SS_Cy5	RS0639_SS_Cy5
Pax5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1
Scn7a	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0
Pappa	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1
Blank-6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1
Lrp4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
Pde1a	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0
Bnc2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1
Bcl11b	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0
Myo5b	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1
Cntnap3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0
Cnr1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0
Gfap	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0
Edaradd	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1
Pde3a	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0
Fign	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1
Piezo2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0
Spon1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0
Fyb	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1
Arhgap28	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0
Baiap3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
Abcc9	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0
Npnt	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1
Blank-10	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1
Arhgap25	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0
Adgrf5	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0
Shroom3	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0
Pax7	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0
Sorcs3	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1
Blank-16	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0
Ntng1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0
St3gal1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1
Rasgrp1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0
Tgfbr2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1
Oprd1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0
Blank-1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0
Syt6	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0
Col23a1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0
Onecut2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1
Tfap2b	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0
