	Bit_1	Bit_2	Bit_3	Bit_4	Bit_5	Bit_6	Bit_7	Bit_8	Bit_9	Bit_10	Bit_11	Bit_12	Bit_13	Bit_14	Bit_15	Bit_16	Bit_17	Bit_18
001 CLA-EPd-CTX Car3 Glut	6331	925	7763	4513	4914	5089	912	67664	5790	4212	10499	2062	64522	172	10224	972	18622	11464
002 IT EP-CLA Glut	1729	1527	12573	6334	6509	5324	2877	67712	6612	4511	16223	4575	121158	176	23179	1814	30835	15542
003 L5/6 IT TPE-ENT Glut	960	1061	9928	7293	8156	5112	2555	49620	6388	3843	19275	5035	109176	169	24687	1716	35324	16512
004 L6 IT CTX Glut	711	1000	10063	5171	4220	5334	1201	60832	5565	4769	11519	2986	90395	155	11353	1118	21871	11677
005 L5 IT CTX Glut	818	1162	10469	7264	5578	4143	1433	64829	7470	6278	13950	3223	139220	199	13165	1319	27880	13996
006 L4/5 IT CTX Glut	1122	883	8649	5423	3805	5981	922	55450	6625	3572	10178	1971	96812	140	8931	1028	19450	10827
007 L2/3 IT CTX Glut	1046	1349	12438	4994	3743	7826	2896	75504	7580	4275	11407	2314	110627	189	12945	1295	20711	12256
008 L2/3 IT ENT Glut	1735	1170	8536	6537	4995	4126	1836	36089	5758	4418	14138	3182	116896	191	15862	1369	25886	12152
009 L2/3 IT PIR-ENTl Glut	687	988	7828	4952	4666	6572	1687	49574	4812	4247	12253	2003	96219	192	13533	1228	24107	11444
010 IT AON-TT-DP Glut	491	930	7134	4595	3890	2917	2260	39614	4195	3412	9862	1961	66449	147	11445	985	18731	10516
011 L2 IT ENT-po Glut	1944	1177	10026	11480	9062	4831	621	46355	6521	7633	23192	5951	131487	260	21447	1958	47711	16627
012 MEA Slc17a7 Glut	905	1104	11451	5092	5701	5070	2667	62332	3533	4442	13840	1857	137883	287	23768	2362	25132	12726
013 COAp Grxcr2 Glut	445	558	6427	2817	3256	4921	1497	38454	2055	2328	7863	783	56052	173	12483	1004	13474	8600
014 LA-BLA-BMA-PA Glut	1025	1374	12977	6325	7046	5669	2843	66091	5347	3872	17657	4850	127628	321	27807	2104	32530	16180
015 ENTmv-PA-COAp Glut	385	1192	7367	4583	4675	2858	1875	42045	2574	1794	11153	1947	89166	134	21586	1263	21435	10546
016 CA1-ProS Glut	648	1445	23338	7496	6171	4189	1495	111816	6628	5000	18582	6672	136098	216	25480	1991	36294	16093
017 CA3 Glut	2290	1643	30060	11997	10890	9160	970	135143	6726	9446	31653	8626	144172	364	34669	3461	62378	26629
018 L2 IT PPP-APr Glut	1385	1713	10897	4246	3210	4787	2276	56152	3922	2918	9379	999	122574	161	14132	1158	18264	9968
019 L2/3 IT PPP Glut	1000	1236	9697	5844	4014	3178	1063	61053	4883	4303	11088	2925	114689	174	11956	1248	22326	10154
020 L2/3 IT RSP Glut	609	842	5293	3836	2267	1816	832	48276	2941	2779	5886	776	70050	114	5530	646	11644	6809
021 L4 RSP-ACA Glut	2133	1492	12385	15005	6313	6866	3030	74191	12307	5399	19544	3456	179332	143	14783	2214	42251	22373
022 L5 ET CTX Glut	1209	1397	15671	13105	7865	3416	3618	63991	7788	6229	21631	5437	144087	180	21509	2117	49333	20089
023 SUB-ProS Glut	2132	1832	18877	10939	7702	2412	5186	78879	6393	5874	20183	6101	147022	200	25893	1988	44029	17924
024 L5 PPP Glut	1600	1069	7154	5677	3531	1208	3221	28836	1802	2058	9022	1468	81767	96	9807	1096	19449	8961
